,state,action,reward,next_state,done
18,[89.43083954 88.94295502 85.88467407 87.98718262 87.11238861 85.33380127],2,0.0,[88.94295502 85.88467407 87.98718262 87.11238861 85.33380127 87.01840973],False
19,[88.94295502 85.88467407 87.98718262 87.11238861 85.33380127 87.01840973],2,0.0,[85.88467407 87.98718262 87.11238861 85.33380127 87.01840973 90.59456635],False
20,[85.88467407 87.98718262 87.11238861 85.33380127 87.01840973 90.59456635],0,-0.02,[87.98718262 87.11238861 85.33380127 87.01840973 90.59456635 88.16513824],False
21,[87.98718262 87.11238861 85.33380127 87.01840973 90.59456635 88.16513824],2,-2.4494281005859375,[87.11238861 85.33380127 87.01840973 90.59456635 88.16513824 85.98065186],False
22,[87.11238861 85.33380127 87.01840973 90.59456635 88.16513824 85.98065186],1,-0.01,[85.33380127 87.01840973 90.59456635 88.16513824 85.98065186 87.39432526],False
23,[85.33380127 87.01840973 90.59456635 88.16513824 85.98065186 87.39432526],2,-0.01,[87.01840973 90.59456635 88.16513824 85.98065186 87.39432526 84.01512146],False
24,[87.01840973 90.59456635 88.16513824 85.98065186 87.39432526 84.01512146],1,-0.01,[90.59456635 88.16513824 85.98065186 87.39432526 84.01512146 84.65097046],False
25,[90.59456635 88.16513824 85.98065186 87.39432526 84.01512146 84.65097046],2,-0.01,[88.16513824 85.98065186 87.39432526 84.01512146 84.65097046 76.18197632],False
26,[88.16513824 85.98065186 87.39432526 84.01512146 84.65097046 76.18197632],2,0.0,[85.98065186 87.39432526 84.01512146 84.65097046 76.18197632 79.49919128],False
27,[85.98065186 87.39432526 84.01512146 84.65097046 76.18197632 79.49919128],0,-0.02,[87.39432526 84.01512146 84.65097046 76.18197632 79.49919128 82.40350342],False
28,[87.39432526 84.01512146 84.65097046 76.18197632 79.49919128 82.40350342],0,2.9043121337890625,[84.01512146 84.65097046 76.18197632 79.49919128 82.40350342 79.65815735],False
29,[84.01512146 84.65097046 76.18197632 79.49919128 82.40350342 79.65815735],1,-5.500692138671875,[84.65097046 76.18197632 79.49919128 82.40350342 79.65815735 82.61245728],False
30,[84.65097046 76.18197632 79.49919128 82.40350342 79.65815735 82.61245728],2,5.898599853515625,[76.18197632 79.49919128 82.40350342 79.65815735 82.61245728 87.71424866],False
31,[76.18197632 79.49919128 82.40350342 79.65815735 82.61245728 87.71424866],2,5.1017913818359375,[79.49919128 82.40350342 79.65815735 82.61245728 87.71424866 87.7362442 ],False
32,[79.49919128 82.40350342 79.65815735 82.61245728 87.71424866 87.7362442 ],2,0.0,[82.40350342 79.65815735 82.61245728 87.71424866 87.7362442  86.38156128],False
33,[82.40350342 79.65815735 82.61245728 87.71424866 87.7362442  86.38156128],1,-0.01,[79.65815735 82.61245728 87.71424866 87.7362442  86.38156128 83.02135468],False
34,[79.65815735 82.61245728 87.71424866 87.7362442  86.38156128 83.02135468],2,-0.01,[82.61245728 87.71424866 87.7362442  86.38156128 83.02135468 85.79669952],False
35,[82.61245728 87.71424866 87.7362442  86.38156128 83.02135468 85.79669952],1,-0.01,[87.71424866 87.7362442  86.38156128 83.02135468 85.79669952 88.76799774],False
36,[87.71424866 87.7362442  86.38156128 83.02135468 85.79669952 88.76799774],2,-0.01,[87.7362442  86.38156128 83.02135468 85.79669952 88.76799774 92.11820221],False
37,[87.7362442  86.38156128 83.02135468 85.79669952 88.76799774 92.11820221],0,-0.02,[86.38156128 83.02135468 85.79669952 88.76799774 92.11820221 90.53257751],False
38,[86.38156128 83.02135468 85.79669952 88.76799774 92.11820221 90.53257751],1,-1.5956246948242188,[83.02135468 85.79669952 88.76799774 92.11820221 90.53257751 90.39061737],False
39,[83.02135468 85.79669952 88.76799774 92.11820221 90.53257751 90.39061737],0,-0.15196014404296876,[85.79669952 88.76799774 92.11820221 90.53257751 90.39061737 88.72601318],False
40,[85.79669952 88.76799774 92.11820221 90.53257751 90.39061737 88.72601318],2,-3.3492083740234375,[88.76799774 92.11820221 90.53257751 90.39061737 88.72601318 89.8567276 ],False
41,[88.76799774 92.11820221 90.53257751 90.39061737 88.72601318 89.8567276 ],2,1.1307144165039062,[92.11820221 90.53257751 90.39061737 88.72601318 89.8567276  90.37762451],False
42,[92.11820221 90.53257751 90.39061737 88.72601318 89.8567276  90.37762451],2,0.0,[90.53257751 90.39061737 88.72601318 89.8567276  90.37762451 91.33439636],False
43,[90.53257751 90.39061737 88.72601318 89.8567276  90.37762451 91.33439636],2,0.0,[90.39061737 88.72601318 89.8567276  90.37762451 91.33439636 94.60761261],False
