,state,action,reward,next_state,done
20,"[168.21136475 168.96861267 167.84268188 169.05827332 167.17507935
 174.40892029]",1,151.90065979003907,"[168.96861267 167.84268188 169.05827332 167.17507935 174.40892029
 175.91348267]",False
21,"[168.96861267 167.84268188 169.05827332 167.17507935 174.40892029
 175.91348267]",2,31.585809936523436,"[167.84268188 169.05827332 167.17507935 174.40892029 175.91348267
 172.06738281]",False
22,"[167.84268188 169.05827332 167.17507935 174.40892029 175.91348267
 172.06738281]",1,-76.9319970703125,"[169.05827332 167.17507935 174.40892029 175.91348267 172.06738281
 168.76933289]",False
23,"[169.05827332 167.17507935 174.40892029 175.91348267 172.06738281
 168.76933289]",0,-65.97099853515626,"[167.17507935 174.40892029 175.91348267 172.06738281 168.76933289
 167.39430237]",False
24,"[167.17507935 174.40892029 175.91348267 172.06738281 168.76933289
 167.39430237]",0,-28.875640869140625,"[174.40892029 175.91348267 172.06738281 168.76933289 167.39430237
 166.43774414]",False
25,"[174.40892029 175.91348267 172.06738281 168.76933289 167.39430237
 166.43774414]",0,-21.044281005859375,"[175.91348267 172.06738281 168.76933289 167.39430237 166.43774414
 164.40512085]",False
26,"[175.91348267 172.06738281 168.76933289 167.39430237 166.43774414
 164.40512085]",2,-46.77033569335938,"[172.06738281 168.76933289 167.39430237 166.43774414 164.40512085
 165.24208069]",False
27,"[172.06738281 168.76933289 167.39430237 166.43774414 164.40512085
 165.24208069]",0,18.393116455078125,"[168.76933289 167.39430237 166.43774414 164.40512085 165.24208069
 166.29824829]",False
28,"[168.76933289 167.39430237 166.43774414 164.40512085 165.24208069
 166.29824829]",0,24.291854858398438,"[167.39430237 166.43774414 164.40512085 165.24208069 166.29824829
 168.41062927]",False
29,"[167.39430237 166.43774414 164.40512085 165.24208069 166.29824829
 168.41062927]",1,50.6871435546875,"[166.43774414 164.40512085 165.24208069 166.29824829 168.41062927
 169.27749634]",False
