,state,action,reward,next_state,done
12,"[508.17944336 501.63748169 494.52709961 492.50265503 484.24539185
 489.99954224]",2,0.0,"[501.63748169 494.52709961 492.50265503 484.24539185 489.99954224
 496.00302124]",False
13,"[501.63748169 494.52709961 492.50265503 484.24539185 489.99954224
 496.00302124]",1,-0.01,"[494.52709961 492.50265503 484.24539185 489.99954224 496.00302124
 505.34725952]",False
14,"[494.52709961 492.50265503 484.24539185 489.99954224 496.00302124
 505.34725952]",2,-0.01,"[492.50265503 484.24539185 489.99954224 496.00302124 505.34725952
 509.51577759]",False
15,"[492.50265503 484.24539185 489.99954224 496.00302124 505.34725952
 509.51577759]",2,0.0,"[484.24539185 489.99954224 496.00302124 505.34725952 509.51577759
 525.890625  ]",False
16,"[484.24539185 489.99954224 496.00302124 505.34725952 509.51577759
 525.890625  ]",2,0.0,"[489.99954224 496.00302124 505.34725952 509.51577759 525.890625
 517.82281494]",False
17,"[489.99954224 496.00302124 505.34725952 509.51577759 525.890625
 517.82281494]",2,0.0,"[496.00302124 505.34725952 509.51577759 525.890625   517.82281494
 515.47937012]",False
18,"[496.00302124 505.34725952 509.51577759 525.890625   517.82281494
 515.47937012]",2,0.0,"[505.34725952 509.51577759 525.890625   517.82281494 515.47937012
 518.40130615]",False
19,"[505.34725952 509.51577759 525.890625   517.82281494 515.47937012
 518.40130615]",1,-0.01,"[509.51577759 525.890625   517.82281494 515.47937012 518.40130615
 521.72210693]",False
20,"[509.51577759 525.890625   517.82281494 515.47937012 518.40130615
 521.72210693]",2,-0.01,"[525.890625   517.82281494 515.47937012 518.40130615 521.72210693
 510.49310303]",False
21,"[525.890625   517.82281494 515.47937012 518.40130615 521.72210693
 510.49310303]",2,0.0,"[517.82281494 515.47937012 518.40130615 521.72210693 510.49310303
 498.85519409]",False
22,"[517.82281494 515.47937012 518.40130615 521.72210693 510.49310303
 498.85519409]",2,0.0,"[515.47937012 518.40130615 521.72210693 510.49310303 498.85519409
 498.38644409]",False
23,"[515.47937012 518.40130615 521.72210693 510.49310303 498.85519409
 498.38644409]",2,0.0,"[518.40130615 521.72210693 510.49310303 498.85519409 498.38644409
 492.81182861]",False
24,"[518.40130615 521.72210693 510.49310303 498.85519409 498.38644409
 492.81182861]",0,-0.02,"[521.72210693 510.49310303 498.85519409 498.38644409 492.81182861
 500.4208374 ]",False
25,"[521.72210693 510.49310303 498.85519409 498.38644409 492.81182861
 500.4208374 ]",0,7.6090087890625,"[510.49310303 498.85519409 498.38644409 492.81182861 500.4208374
 479.74783325]",False
26,"[510.49310303 498.85519409 498.38644409 492.81182861 500.4208374
 479.74783325]",2,-41.36600830078125,"[498.85519409 498.38644409 492.81182861 500.4208374  479.74783325
 480.40597534]",False
