,state,action,reward,next_state,done
22,"[422.21786499 423.8984375  420.89532471 425.53921509 419.54290771
 411.32907104]",1,0.0,"[423.8984375  420.89532471 425.53921509 419.54290771 411.32907104
 412.26376343]",False
23,"[423.8984375  420.89532471 425.53921509 419.54290771 411.32907104
 412.26376343]",2,-0.01,"[420.89532471 425.53921509 419.54290771 411.32907104 412.26376343
 409.53909302]",False
24,"[420.89532471 425.53921509 419.54290771 411.32907104 412.26376343
 409.53909302]",2,0.0,"[425.53921509 419.54290771 411.32907104 412.26376343 409.53909302
 402.01138306]",False
25,"[425.53921509 419.54290771 411.32907104 412.26376343 409.53909302
 402.01138306]",0,-0.02,"[419.54290771 411.32907104 412.26376343 409.53909302 402.01138306
 396.89016724]",False
26,"[419.54290771 411.32907104 412.26376343 409.53909302 402.01138306
 396.89016724]",1,-5.1312158203125,"[411.32907104 412.26376343 409.53909302 402.01138306 396.89016724
 398.71987915]",False
27,"[411.32907104 412.26376343 409.53909302 402.01138306 396.89016724
 398.71987915]",0,1.8197119140625,"[412.26376343 409.53909302 402.01138306 396.89016724 398.71987915
 405.29296875]",False
28,"[412.26376343 409.53909302 402.01138306 396.89016724 398.71987915
 405.29296875]",1,13.13617919921875,"[409.53909302 402.01138306 396.89016724 398.71987915 405.29296875
 406.7746582 ]",False
29,"[409.53909302 402.01138306 396.89016724 398.71987915 405.29296875
 406.7746582 ]",1,2.96337890625,"[402.01138306 396.89016724 398.71987915 405.29296875 406.7746582
 396.81063843]",False
30,"[402.01138306 396.89016724 398.71987915 405.29296875 406.7746582
 396.81063843]",0,-19.93803955078125,"[396.89016724 398.71987915 405.29296875 406.7746582  396.81063843
 404.04995728]",False
31,"[396.89016724 398.71987915 405.29296875 406.7746582  396.81063843
 404.04995728]",1,21.70795654296875,"[398.71987915 405.29296875 406.7746582  396.81063843 404.04995728
 400.00265503]",False
32,"[398.71987915 405.29296875 406.7746582  396.81063843 404.04995728
 400.00265503]",1,-12.14190673828125,"[405.29296875 406.7746582  396.81063843 404.04995728 400.00265503
 387.15484619]",False
33,"[405.29296875 406.7746582  396.81063843 404.04995728 400.00265503
 387.15484619]",1,-38.543426513671875,"[406.7746582  396.81063843 404.04995728 400.00265503 387.15484619
 392.73352051]",False
34,"[406.7746582  396.81063843 404.04995728 400.00265503 387.15484619
 392.73352051]",2,16.72602294921875,"[396.81063843 404.04995728 400.00265503 387.15484619 392.73352051
 395.61730957]",False
35,"[396.81063843 404.04995728 400.00265503 387.15484619 392.73352051
 395.61730957]",1,5.757578125,"[404.04995728 400.00265503 387.15484619 392.73352051 395.61730957
 404.38803101]",False
36,"[404.04995728 400.00265503 387.15484619 392.73352051 395.61730957
 404.38803101]",1,17.54144287109375,"[400.00265503 387.15484619 392.73352051 395.61730957 404.38803101
 411.22961426]",False
37,"[400.00265503 387.15484619 392.73352051 395.61730957 404.38803101
 411.22961426]",1,13.68316650390625,"[387.15484619 392.73352051 395.61730957 404.38803101 411.22961426
 407.05303955]",False
38,"[387.15484619 392.73352051 395.61730957 404.38803101 411.22961426
 407.05303955]",1,-8.3531494140625,"[392.73352051 395.61730957 404.38803101 411.22961426 407.05303955
 408.24639893]",False
39,"[392.73352051 395.61730957 404.38803101 411.22961426 407.05303955
 408.24639893]",1,2.38671875,"[395.61730957 404.38803101 411.22961426 407.05303955 408.24639893
 410.01644897]",False
40,"[395.61730957 404.38803101 411.22961426 407.05303955 408.24639893
 410.01644897]",1,3.54010009765625,"[404.38803101 411.22961426 407.05303955 408.24639893 410.01644897
 412.42288208]",False
41,"[404.38803101 411.22961426 407.05303955 408.24639893 410.01644897
 412.42288208]",1,4.8128662109375,"[411.22961426 407.05303955 408.24639893 410.01644897 412.42288208
 411.40859985]",False
42,"[411.22961426 407.05303955 408.24639893 410.01644897 412.42288208
 411.40859985]",0,-2.038564453125,"[407.05303955 408.24639893 410.01644897 412.42288208 411.40859985
 414.23272705]",False
43,"[407.05303955 408.24639893 410.01644897 412.42288208 411.40859985
 414.23272705]",1,8.462381591796875,"[408.24639893 410.01644897 412.42288208 411.40859985 414.23272705
 421.47512817]",False
44,"[408.24639893 410.01644897 412.42288208 411.40859985 414.23272705
 421.47512817]",0,21.717203369140623,"[410.01644897 412.42288208 411.40859985 414.23272705 421.47512817
 419.39309692]",False
45,"[410.01644897 412.42288208 411.40859985 414.23272705 421.47512817
 419.39309692]",1,-8.338125,"[412.42288208 411.40859985 414.23272705 421.47512817 419.39309692
 418.61602783]",False
46,"[412.42288208 411.40859985 414.23272705 421.47512817 419.39309692
 418.61602783]",2,-3.1182763671875,"[411.40859985 414.23272705 421.47512817 419.39309692 418.61602783
 423.72659302]",False
47,"[411.40859985 414.23272705 421.47512817 419.39309692 418.61602783
 423.72659302]",1,15.321695556640625,"[414.23272705 421.47512817 419.39309692 418.61602783 423.72659302
 427.41256714]",False
48,"[414.23272705 421.47512817 419.39309692 418.61602783 423.72659302
 427.41256714]",0,11.04792236328125,"[421.47512817 419.39309692 418.61602783 423.72659302 427.41256714
 428.88693237]",False
49,"[421.47512817 419.39309692 418.61602783 423.72659302 427.41256714
 428.88693237]",1,5.8874609375,"[419.39309692 418.61602783 423.72659302 427.41256714 428.88693237
 425.38027954]",False
50,"[419.39309692 418.61602783 423.72659302 427.41256714 428.88693237
 425.38027954]",0,-14.036611328125,"[418.61602783 423.72659302 427.41256714 428.88693237 425.38027954
 428.52832031]",False
51,"[418.61602783 423.72659302 427.41256714 428.88693237 425.38027954
 428.52832031]",2,15.720203857421875,"[423.72659302 427.41256714 428.88693237 425.38027954 428.52832031
 428.68768311]",False
52,"[423.72659302 427.41256714 428.88693237 425.38027954 428.52832031
 428.68768311]",0,0.617451171875,"[427.41256714 428.88693237 425.38027954 428.52832031 428.68768311
 427.54208374]",False
53,"[427.41256714 428.88693237 425.38027954 428.52832031 428.68768311
 427.54208374]",1,-5.737996826171875,"[428.88693237 425.38027954 428.52832031 428.68768311 427.54208374
 413.09707642]",False
54,"[428.88693237 425.38027954 428.52832031 428.68768311 427.54208374
 413.09707642]",2,-72.23503662109376,"[425.38027954 428.52832031 428.68768311 427.54208374 413.09707642
 413.55532837]",False
55,"[425.38027954 428.52832031 428.68768311 427.54208374 413.09707642
 413.55532837]",1,1.8230078125,"[428.52832031 428.68768311 427.54208374 413.09707642 413.55532837
 411.95141602]",False
