,state,action,reward,next_state,done
25,"[407.60998535 403.26000977 400.26000977 396.92001343 397.73999023
 399.89001465]",0,6.4500732421875,"[403.26000977 400.26000977 396.92001343 397.73999023 399.89001465
 405.07998657]",False
26,"[403.26000977 400.26000977 396.92001343 397.73999023 399.89001465
 405.07998657]",1,20.7498876953125,"[400.26000977 396.92001343 397.73999023 399.89001465 405.07998657
 408.77999878]",False
27,"[400.26000977 396.92001343 397.73999023 399.89001465 405.07998657
 408.77999878]",1,14.800048828125,"[396.92001343 397.73999023 399.89001465 405.07998657 408.77999878
 408.73999023]",False
28,"[396.92001343 397.73999023 399.89001465 405.07998657 408.77999878
 408.73999023]",2,-0.1700341796875,"[397.73999023 399.89001465 405.07998657 408.77999878 408.73999023
 405.95001221]",False
29,"[397.73999023 399.89001465 405.07998657 408.77999878 408.73999023
 405.95001221]",0,-8.38993408203125,"[399.89001465 405.07998657 408.77999878 408.73999023 405.95001221
 404.91000366]",False
30,"[399.89001465 405.07998657 408.77999878 408.73999023 405.95001221
 404.91000366]",0,-4.1600341796875,"[405.07998657 408.77999878 408.73999023 405.95001221 404.91000366
 402.1000061 ]",False
31,"[405.07998657 408.77999878 408.73999023 405.95001221 404.91000366
 402.1000061 ]",2,-14.06998779296875,"[408.77999878 408.73999023 405.95001221 404.91000366 402.1000061
 400.95999146]",False
32,"[408.77999878 408.73999023 405.95001221 404.91000366 402.1000061
 400.95999146]",1,-4.57005859375,"[408.73999023 405.95001221 404.91000366 402.1000061  400.95999146
 396.73001099]",False
33,"[408.73999023 405.95001221 404.91000366 402.1000061  400.95999146
 396.73001099]",0,-16.929921875,"[405.95001221 404.91000366 402.1000061  400.95999146 396.73001099
 398.57998657]",False
34,"[405.95001221 404.91000366 402.1000061  400.95999146 396.73001099
 398.57998657]",1,9.2398779296875,"[404.91000366 402.1000061  400.95999146 396.73001099 398.57998657
 400.6000061 ]",False
35,"[404.91000366 402.1000061  400.95999146 396.73001099 398.57998657
 400.6000061 ]",2,10.09009765625,"[402.1000061  400.95999146 396.73001099 398.57998657 400.6000061
 400.86999512]",False
36,"[402.1000061  400.95999146 396.73001099 398.57998657 400.6000061
 400.86999512]",1,1.0699560546875,"[400.95999146 396.73001099 398.57998657 400.6000061  400.86999512
 404.92001343]",False
37,"[400.95999146 396.73001099 398.57998657 400.6000061  400.86999512
 404.92001343]",2,16.1900732421875,"[396.73001099 398.57998657 400.6000061  400.86999512 404.92001343
 406.14001465]",False
38,"[396.73001099 398.57998657 400.6000061  400.86999512 404.92001343
 406.14001465]",0,3.640003662109375,"[398.57998657 400.6000061  400.86999512 404.92001343 406.14001465
 406.36999512]",False
39,"[398.57998657 400.6000061  400.86999512 404.92001343 406.14001465
 406.36999512]",1,0.909921875,"[400.6000061  400.86999512 404.92001343 406.14001465 406.36999512
 408.82000732]",False
40,"[400.6000061  400.86999512 404.92001343 406.14001465 406.36999512
 408.82000732]",1,9.800048828125,"[400.86999512 404.92001343 406.14001465 406.36999512 408.82000732
 412.04998779]",False
41,"[400.86999512 404.92001343 406.14001465 406.36999512 408.82000732
 412.04998779]",1,12.919921875,"[404.92001343 406.14001465 406.36999512 408.82000732 412.04998779
 411.22000122]",False
