,state,action,reward,next_state,done
22,"[450.740448   454.41757202 444.85906982 436.62515259 434.13424683
 440.49008179]",2,6.3358349609375,"[454.41757202 444.85906982 436.62515259 434.13424683 440.49008179
 463.48178101]",False
23,"[454.41757202 444.85906982 436.62515259 434.13424683 440.49008179
 463.48178101]",2,0.0,"[444.85906982 436.62515259 434.13424683 440.49008179 463.48178101
 473.465271  ]",False
24,"[444.85906982 436.62515259 434.13424683 440.49008179 463.48178101
 473.465271  ]",0,-0.02,"[436.62515259 434.13424683 440.49008179 463.48178101 473.465271
 487.49157715]",False
25,"[436.62515259 434.13424683 440.49008179 463.48178101 473.465271
 487.49157715]",2,14.00630615234375,"[434.13424683 440.49008179 463.48178101 473.465271   487.49157715
 495.34991455]",False
26,"[434.13424683 440.49008179 463.48178101 473.465271   487.49157715
 495.34991455]",2,0.0,"[440.49008179 463.48178101 473.465271   487.49157715 495.34991455
 485.56408691]",False
27,"[440.49008179 463.48178101 473.465271   487.49157715 495.34991455
 485.56408691]",0,-0.02,"[463.48178101 473.465271   487.49157715 495.34991455 485.56408691
 480.57235718]",False
28,"[463.48178101 473.465271   487.49157715 495.34991455 485.56408691
 480.57235718]",2,-5.011729736328125,"[473.465271   487.49157715 495.34991455 485.56408691 480.57235718
 481.67938232]",False
29,"[473.465271   487.49157715 495.34991455 485.56408691 480.57235718
 481.67938232]",2,0.0,"[487.49157715 495.34991455 485.56408691 480.57235718 481.67938232
 488.16375732]",False
30,"[487.49157715 495.34991455 485.56408691 480.57235718 481.67938232
 488.16375732]",2,0.0,"[495.34991455 485.56408691 480.57235718 481.67938232 488.16375732
 489.63659668]",False
31,"[495.34991455 485.56408691 480.57235718 481.67938232 488.16375732
 489.63659668]",1,-0.01,"[485.56408691 480.57235718 481.67938232 488.16375732 489.63659668
 483.38949585]",False
32,"[485.56408691 480.57235718 481.67938232 488.16375732 489.63659668
 483.38949585]",1,0.0,"[480.57235718 481.67938232 488.16375732 489.63659668 483.38949585
 478.12097168]",False
33,"[480.57235718 481.67938232 488.16375732 489.63659668 483.38949585
 478.12097168]",0,-0.01,"[481.67938232 488.16375732 489.63659668 483.38949585 478.12097168
 478.5262146 ]",False
34,"[481.67938232 488.16375732 489.63659668 483.38949585 478.12097168
 478.5262146 ]",2,0.385242919921875,"[488.16375732 489.63659668 483.38949585 478.12097168 478.5262146
 487.2840271 ]",False
35,"[488.16375732 489.63659668 483.38949585 478.12097168 478.5262146
 487.2840271 ]",2,0.0,"[489.63659668 483.38949585 478.12097168 478.5262146  487.2840271
 486.77005005]",False
36,"[489.63659668 483.38949585 478.12097168 478.5262146  487.2840271
 486.77005005]",2,0.0,"[483.38949585 478.12097168 478.5262146  487.2840271  486.77005005
 488.67776489]",False
